Model;;Mean year per GWL;;;;;Period per GWL;;;;;AWL 1850-1900
GCM (CMIP5);RCP;1.0°C;1.5°C;2.0°C;3.0°C;4.0°C;1.0°C;1.5°C;2.0°C;3.0°C;4.0°C;1.0°C;1.5°C;2.0°C;3.0°C;4.0°C
BNU-ESM_rcp26_r1i1p1_200601-210012;rcp26;1994;2008;2025;n/a;n/a;1984-2003;1998-2017;2015-2034;n/a;n/a;1.476405113403007;1.733351210882924;2.173430158162128;n/a;n/a
CNRM-CM5_rcp26_r1i1p1_200601-210012;rcp26;2013;2044;n/a;n/a;n/a;2003-2022;2034-2053;n/a;n/a;n/a;1.0392266495132134;1.6464059670637938;n/a;n/a;n/a
CanESM2_rcp26_r1i1p1_200601-210012;rcp26;2002;2014;2034;n/a;n/a;1992-2011;2004-2023;2024-2043;n/a;n/a;1.156458434559991;1.6610522201638334;2.3100341198491576;n/a;n/a
EC-EARTH_rcp26_r12i1p1_200601-210012;rcp26;2004;2024;n/a;n/a;n/a;1994-2013;2014-2033;n/a;n/a;n/a;1.3948874835801293;1.5177573067561925;n/a;n/a;n/a
GFDL-ESM2M_rcp26_r1i1p1_200601-210012;rcp26;2012;n/a;n/a;n/a;n/a;2002-2021;n/a;n/a;n/a;n/a;0.9688922246296671;n/a;n/a;n/a;n/a
HadGEM2-ES_rcp26_r1i1p1_200512-209911;rcp26;2011;2024;n/a;n/a;n/a;2001-2020;2014-2033;n/a;n/a;n/a;1.5463769508686909;2.65995481144532;n/a;n/a;n/a
IPSL-CM5A-LR_rcp26_r1i1p1_200601-230012;rcp26;1995;2011;2032;n/a;n/a;1985-2004;2001-2020;2022-2041;n/a;n/a;1.354273817274259;2.2760500166150766;2.8049413257174507;n/a;n/a
IPSL-CM5A-MR_rcp26_r1i1p1_200601-210012;rcp26;2002;2016;2047;n/a;n/a;1992-2011;2006-2025;2037-2056;n/a;n/a;1.4089856211853231;1.9288074739609442;2.4312452025707216;n/a;n/a
MIROC5_rcp26_r1i1p1_200601-210012;rcp26;2018;2047;n/a;n/a;n/a;2008-2027;2037-2056;n/a;n/a;n/a;1.2355326149307275;1.8323752824413164;n/a;n/a;n/a
MPI-ESM-LR_rcp26_r1i1p1_200601-210012;rcp26;2004;2023;n/a;n/a;n/a;1994-2013;2013-2032;n/a;n/a;n/a;1.0229186488132427;1.6607904546400647;n/a;n/a;n/a
MPI-ESM-LR_rcp26_r2i1p1_200601-210012;rcp26;1999;2017;n/a;n/a;n/a;1989-2008;2007-2026;n/a;n/a;n/a;1.4588146608639647;2.292647719539096;n/a;n/a;n/a
NorESM1-ME_rcp26_r1i1p1_200601-210112;rcp26;2018;2085;n/a;n/a;n/a;2008-2027;2075-2094;n/a;n/a;n/a;1.3371866870290035;2.3795068961083103;n/a;n/a;n/a
NorESM1-M_rcp26_r1i1p1_200601-210012;rcp26;2018;n/a;n/a;n/a;n/a;2008-2027;n/a;n/a;n/a;n/a;1.3435223415266706;n/a;n/a;n/a;n/a
bcc-csm1-1-m_rcp26_r1i1p1_200601-210012;rcp26;1996;2012;2044;n/a;n/a;1986-2005;2002-2021;2034-2053;n/a;n/a;1.1340289203127327;1.5591343966510665;2.1846382211978663;n/a;n/a
bcc-csm1-1_rcp26_r1i1p1_200601-209912;rcp26;1998;2023;n/a;n/a;n/a;1988-2007;2013-2032;n/a;n/a;n/a;1.4772014468324017;1.9153828789206102;n/a;n/a;n/a
BNU-ESM_rcp45_r1i1p1_200601-210012;rcp45;1994;2008;2024;2064;n/a;1984-2003;1998-2017;2014-2033;2054-2073;n/a;1.476405113403007;2.0018648268090375;2.5943748382700877;3.59949352621768;n/a
CNRM-CM5_rcp45_r1i1p1_200601-210012;rcp45;2012;2038;2059;n/a;n/a;2002-2021;2028-2047;2049-2068;n/a;n/a;1.0474693619785627;1.3908624986238296;2.369249040281051;n/a;n/a
CanESM2_rcp45_r1i1p1_200601-210012;rcp45;2003;2018;2032;2076;n/a;1993-2012;2008-2027;2022-2041;2066-2085;n/a;1.2890779532638732;1.7530408048941895;2.1572966507058227;3.158023986317801;n/a
EC-EARTH_rcp45_r12i1p1_200601-210012;rcp45;2004;2023;2045;n/a;n/a;1994-2013;2013-2032;2035-2054;n/a;n/a;1.368205911566497;1.8064315552516292;2.289968402273672;n/a;n/a
EC-EARTH_rcp45_r1i1p1_200601-209912;rcp45;2003;2023;2045;n/a;n/a;1993-2012;2013-2032;2035-2054;n/a;n/a;1.466375498474318;1.8846447500747616;2.0520160369433174;n/a;n/a
HadGEM2-ES_rcp45_r1i1p1_200512-209911;rcp45;2012;2029;2044;2079;n/a;2002-2021;2019-2038;2034-2053;2069-2088;n/a;1.8115259592721884;2.6926909781907824;3.402768604114874;4.262045823065577;n/a
IPSL-CM5A-LR_rcp45_r1i1p1_200601-230012;rcp45;1995;2014;2031;2070;n/a;1985-2004;2004-2023;2021-2040;2060-2079;n/a;1.354273817274259;2.0767606311373754;2.6109951231214126;3.7470678541394875;n/a
IPSL-CM5A-MR_rcp45_r1i1p1_200601-210012;rcp45;2002;2017;2034;2078;n/a;1992-2011;2007-2026;2024-2043;2068-2087;n/a;1.406939011136666;1.9351703614587081;2.4030852546677837;3.6997549748693985;n/a
MPI-ESM-LR_rcp45_r1i1p1_200601-210012;rcp45;2003;2023;2045;n/a;n/a;1993-2012;2013-2032;2035-2054;n/a;n/a;1.3072501612644176;1.5495560440362226;2.2777169021905252;n/a;n/a
NorESM1-ME_rcp45_r1i1p1_200601-210212;rcp45;2018;2042;2068;n/a;n/a;2008-2027;2032-2051;2058-2077;n/a;n/a;1.6022290555999577;2.120183691220086;2.4999458321299075;n/a;n/a
NorESM1-M_rcp45_r1i1p1_200601-210012;rcp45;2019;2040;2074;n/a;n/a;2009-2028;2030-2049;2064-2083;n/a;n/a;1.284231052938884;2.2197074831960464;2.8000954463850807;n/a;n/a
bcc-csm1-1-m_rcp45_r1i1p1_200601-210012;rcp45;1996;2012;2035;n/a;n/a;1986-2005;2002-2021;2025-2044;n/a;n/a;1.1340289203127327;1.5704258092782568;1.8964493445535255;n/a;n/a
bcc-csm1-1_rcp45_r1i1p1_200601-209912;rcp45;1998;2022;2044;n/a;n/a;1988-2007;2012-2031;2034-2053;n/a;n/a;1.4212926926955705;1.7062200608596272;2.465157811781927;n/a;n/a
GFDL-ESM2M_rcp60_r1i1p1_200601-210012;rcp60;2015;2057;2075;n/a;n/a;2005-2024;2047-2066;2065-2084;n/a;n/a;0.9640832477145183;1.1999586953056622;2.341255760192817;n/a;n/a
HadGEM2-ES_rcp60_r1i1p1_200512-209911;rcp60;2011;2030;2048;2073;n/a;2001-2020;2020-2039;2038-2057;2063-2082;n/a;1.4377096041256352;2.520196688196487;2.827427283382167;4.5099871352488154;n/a
IPSL-CM5A-LR_rcp60_r1i1p1_200601-210012;rcp60;1995;2013;2033;2072;n/a;1985-2004;2003-2022;2023-2042;2062-2081;n/a;1.354273817274259;2.2229234907361675;2.6064766777885695;3.878125784132166;n/a
MIROC5_rcp60_r1i1p1_200601-210012;rcp60;2025;2053;2072;n/a;n/a;2015-2034;2043-2062;2062-2081;n/a;n/a;0.8329010345419221;2.0501568477258276;2.712375203639022;n/a;n/a
BNU-ESM_rcp85_r1i1p1_200601-210012;rcp85;1994;2009;2023;2046;2065;1984-2003;1999-2018;2013-2032;2036-2055;2055-2074;1.476405113403007;1.7747856048716415;2.4997737369245985;3.484939184583581;4.760332437486113
CNRM-CM5_rcp85_r1i1p1_200601-210012;rcp85;2012;2031;2046;2068;2088;2002-2021;2021-2040;2036-2055;2058-2077;2078-2097;0.8307041874132466;1.4821975034998873;2.247640174702275;3.2806059829053824;4.521956848493431
CanESM2_rcp85_r1i1p1_200601-210012;rcp85;2001;2014;2027;2050;2069;1991-2010;2004-2023;2017-2036;2040-2059;2059-2078;1.116037436092651;1.5511599048290776;1.9895469914854376;3.127903602949195;4.527358101240205
EC-EARTH_rcp85_r12i1p1_200601-210012;rcp85;2004;2019;2035;2061;n/a;1994-2013;2009-2028;2025-2044;2051-2070;n/a;1.5244023898260537;1.872409078663094;2.4941367859661145;3.4915699688472817;n/a
EC-EARTH_rcp85_r1i1p1_200601-210012;rcp85;2002;2020;2036;2062;2083;1992-2011;2010-2029;2026-2045;2052-2071;2073-2092;1.5100460662627428;1.9401281589394443;2.5096555741124207;3.1117915778316303;4.5277487209246745
GFDL-CM3_rcp85_r1i1p1_200601-210012;rcp85;2011;2023;2035;2055;2071;2001-2020;2013-2032;2025-2044;2045-2064;2061-2080;1.5752601429937387;2.345769905211097;2.9724466320811445;4.407695513149591;6.004666370660615
GFDL-ESM2M_rcp85_r1i1p1_200601-220012;rcp85;2015;2037;2052;2083;2110;2005-2024;2027-2046;2042-2061;2073-2092;2100-2119;1.0044399049546484;1.8243327034843675;2.144315274556425;3.342259618971025;4.841935200161348
HadGEM2-ES_rcp85_r1i1p1_200512-209912;rcp85;2010;2024;2036;2055;2072;2000-2019;2014-2033;2026-2045;2045-2064;2062-2081;1.7049245253486305;2.7348901275508384;3.1364128893730823;4.3377377184179045;5.744750940600682
IPSL-CM5A-LR_rcp85_r1i1p1_200601-230012;rcp85;1995;2011;2027;2048;2066;1985-2004;2001-2020;2017-2036;2038-2057;2056-2075;1.354273817274259;2.007836935255213;2.7076579623751686;3.8978059980603863;5.1415959888033855
IPSL-CM5A-MR_rcp85_r1i1p1_200601-210012;rcp85;2002;2016;2031;2051;2067;1992-2011;2006-2025;2021-2040;2041-2060;2057-2076;1.4087431444036043;2.086697247931511;2.3324147201235603;3.637461925096591;4.837432387639081
MIROC5_rcp85_r1i1p1_200601-210012;rcp85;2017;2034;2049;2073;n/a;2007-2026;2024-2043;2039-2058;2063-2082;n/a;1.276465447869802;2.213929873410922;2.8230897479145174;3.978895637426257;n/a
MPI-ESM-LR_rcp85_r1i1p1_200601-210012;rcp85;2003;2018;2038;2062;2082;1993-2012;2008-2027;2028-2047;2052-2071;2072-2091;1.397274219288508;1.797417016122819;2.4113715601901933;3.650570244882582;4.771530480478279
NorESM1-ME_rcp85_r1i1p1_200601-210012;rcp85;2013;2034;2048;2070;n/a;2003-2022;2024-2043;2038-2057;2060-2079;n/a;1.2097898703514858;1.6234015579057457;2.324090153147708;3.455206850671036;n/a
NorESM1-M_rcp85_r1i1p1_200601-210012;rcp85;2017;2033;2050;2074;n/a;2007-2026;2023-2042;2040-2059;2064-2083;n/a;1.1020045752099379;1.7711649518646766;2.1553357384043808;3.500642007732171;n/a
bcc-csm1-1-m_rcp85_r1i1p1_200601-210012;rcp85;1996;2011;2029;2060;2086;1986-2005;2001-2020;2019-2038;2050-2069;2076-2095;1.1340289203127327;1.4894528120473725;2.14485306257929;4.014817501361145;4.86744733697872
bcc-csm1-1_rcp85_r1i1p1_200601-209912;rcp85;1998;2020;2037;2060;2084;1988-2007;2010-2029;2027-2046;2050-2069;2074-2093;1.4802279428718976;1.9247762318530108;3.083478446411931;3.928293255575335;5.506299194635119
