SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2039-2058;2052-2071;;
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CNRM-ALADIN53;2034-2053;2046-2065;;
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_SMHI-RCA4;2025-2044;2044-2063;;
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2026-2045;2043-2062;2062-2081;
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN53;2019-2038;2035-2054;2055-2074;2069-2088
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_SMHI-RCA4;2019-2038;2031-2050;2049-2068;2066-2085
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_CLMcom-CCLM4-8-17;2033-2052;;;
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_KNMI-RACMO22E;2026-2045;;;
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_SMHI-RCA4;2022-2041;;;
SDM_ICHEC-EC-EARTH_rcp26_r3i1p1_DMI-HIRHAM5;2033-2052;;;
SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_CLMcom-CCLM4-8-17;2032-2051;2047-2066;;
SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_SMHI-RCA4;2019-2038;2036-2055;;
SDM_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E;2015-2034;2054-2073;;
SDM_ICHEC-EC-EARTH_rcp45_r3i1p1_DMI-HIRHAM5;2023-2042;2056-2075;;
SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_CLMcom-CCLM4-8-17;2024-2043;2037-2056;2065-2084;
SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_SMHI-RCA4;2015-2034;2024-2043;2048-2067;
SDM_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E;2015-2034;2046-2065;2062-2081;2072-2091
SDM_ICHEC-EC-EARTH_rcp85_r3i1p1_DMI-HIRHAM5;2015-2034;2033-2052;2065-2084;2078-2097
SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-INERIS-WRF331F;2024-2043;2052-2071;;
SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_SMHI-RCA4;2022-2041;2034-2053;2069-2088;
SDM_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_IPSL-INERIS-WRF331F;2038-2057;2044-2063;2060-2079;
SDM_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_SMHI-RCA4;2015-2034;2031-2050;2045-2064;2057-2076
SDM_MOHC-HadGEM2-ES_rcp26_r1i1p1_SMHI-RCA4;2007-2026;;;
SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2010-2029;2024-2043;2051-2070;
SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_SMHI-RCA4;2007-2026;2028-2047;2054-2073;
SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2006-2025;2019-2038;2043-2062;2055-2074
SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_SMHI-RCA4;2006-2025;2022-2041;2045-2064;2056-2075
SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_MPI-CSC-REMO2009;2016-2035;;;
SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_SMHI-RCA4;2014-2033;;;
SDM_MPI-M-MPI-ESM-LR_rcp26_r2i1p1_MPI-CSC-REMO2009;2075-2094;;;
SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2023-2042;2071-2090;;
SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_SMHI-RCA4;2019-2038;2029-2048;;
SDM_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2025-2044;2040-2059;2066-2085;2080-2099
SDM_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4;2025-2044;2036-2055;2053-2072;2067-2086