CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2045-2064;44
CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CNRM-ALADIN53;2034-2053;33
CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_SMHI-RCA4;2034-2053;33
CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2036-2055;35
CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN53;2021-2040;20
CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_SMHI-RCA4;2027-2046;26
ICHEC-EC-EARTH_rcp26_r12i1p1_CLMcom-CCLM4-8-17;n/a;n/a
ICHEC-EC-EARTH_rcp26_r12i1p1_KNMI-RACMO22E;n/a;n/a
ICHEC-EC-EARTH_rcp26_r12i1p1_SMHI-RCA4;2029-2048;28
ICHEC-EC-EARTH_rcp26_r3i1p1_DMI-HIRHAM5;n/a;n/a
ICHEC-EC-EARTH_rcp45_r12i1p1_CLMcom-CCLM4-8-17;2041-2060;40
ICHEC-EC-EARTH_rcp45_r12i1p1_SMHI-RCA4;2020-2039;19
ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E;2020-2039;19
ICHEC-EC-EARTH_rcp45_r3i1p1_DMI-HIRHAM5;2026-2045;25
ICHEC-EC-EARTH_rcp85_r12i1p1_CLMcom-CCLM4-8-17;2030-2049;29
ICHEC-EC-EARTH_rcp85_r12i1p1_SMHI-RCA4;2016-2035;15
ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E;2010-2029;9
ICHEC-EC-EARTH_rcp85_r3i1p1_DMI-HIRHAM5;2017-2036;16
IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-INERIS-WRF331F;2021-2040;20
IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_SMHI-RCA4;2020-2039;19
IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_IPSL-INERIS-WRF331F;2001-2020;0
IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_SMHI-RCA4;2006-2025;5
MOHC-HadGEM2-ES_rcp26_r1i1p1_SMHI-RCA4;2005-2024;4
MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2008-2027;7
MOHC-HadGEM2-ES_rcp45_r1i1p1_SMHI-RCA4;2006-2025;5
MOHC-HadGEM2-ES_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2005-2024;4
MOHC-HadGEM2-ES_rcp85_r1i1p1_SMHI-RCA4;2005-2024;4
MPI-M-MPI-ESM-LR_rcp26_r1i1p1_MPI-CSC-REMO2009;2029-2048;28
MPI-M-MPI-ESM-LR_rcp26_r1i1p1_SMHI-RCA4;2019-2038;18
MPI-M-MPI-ESM-LR_rcp26_r2i1p1_MPI-CSC-REMO2009;n/a;n/a
MPI-M-MPI-ESM-LR_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2029-2048;28
MPI-M-MPI-ESM-LR_rcp45_r1i1p1_SMHI-RCA4;2022-2041;21
MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2025-2044;24
MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4;2025-2044;24