Model name;Start date;End date;Unit;Dimensions;Grid;Resolution;Data type
tas_Amon_ACCESS-CM2_historical_r1i1p1f1_gn_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 144, 'lon': 192});native atmosphere N96 grid (144x192 latxlon);250 km;float32
tas_Amon_ACCESS-ESM1-5_historical_r1i1p1f1_gn_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 145, 'lon': 192});native atmosphere N96 grid (145x192 latxlon);250 km;float32
tas_Amon_AWI-CM-1-1-MR_historical_r1i1p1f1_gn_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 192, 'lon': 384});All grid attributes are set for the native grid and based on information from attribute source.;100 km;float32
tas_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 160, 'lon': 320});T106;100 km;float32
tas_Amon_BCC-ESM1_historical_r1i1p1f1_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 64, 'lon': 128});T42;250 km;float32
tas_Amon_CAMS-CSM1-0_historical_r2i1p1f1_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 160, 'lon': 320});T106;100 km;float32
tas_Amon_CAS-ESM2-0_historical_r1i1p1f1_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 128, 'lon': 256});native atmosphere regular grid (128x256 latxlon);100 km;float32
tas_Amon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412;1850-01-15 12:00:00;2014-12-15 12:00:00;K;Frozen({'time': 1980, 'lat': 192, 'lon': 288, 'nbnd': 2});native 0.9x1.25 finite volume grid (192x288 latxlon);100 km;float32
tas_Amon_CESM2_historical_r4i1p1f1_gn_185001-201412;1850-01-15 12:00:00;2014-12-15 12:00:00;K;Frozen({'time': 1980, 'lat': 192, 'lon': 288, 'nbnd': 2});native 0.9x1.25 finite volume grid (192x288 latxlon);100 km;float32
tas_Amon_CMCC-CM2-SR5_historical_r1i1p1f1_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 192, 'lon': 288});native atmosphere regular grid;100 km;float32
tas_Amon_CMCC-ESM2_historical_r1i1p1f1_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 192, 'lon': 288});native atmosphere regular grid;100 km;float32
tas_Amon_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'lat': 360, 'lon': 720, 'time': 1980, 'axis_nbounds': 2});data regridded to a 359 gaussian grid (360x720 latlon) from a native atmosphere T359l reduced gaussian grid;50 km;float32
tas_Amon_CNRM-CM6-1_historical_r1i1p1f2_gr_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'lat': 128, 'lon': 256, 'time': 1980, 'axis_nbounds': 2});data regridded to a T127 gaussian grid (128x256 latlon) from a native atmosphere T127l reduced gaussian grid;250 km;float32
tas_Amon_CNRM-ESM2-1_historical_r1i1p1f2_gr_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'lat': 128, 'lon': 256, 'time': 1980, 'axis_nbounds': 2});data regridded to a T127 gaussian grid (128x256 latlon) from a native atmosphere T127l reduced gaussian grid;250 km;float32
tas_Amon_CanESM5-CanOE_historical_r1i1p2f1_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 64, 'lon': 128});T63L49 native atmosphere, T63 Linear Gaussian Grid; 128 x 64 longitude/latitude; 49 levels; top level 1 hPa;500 km;float32
tas_Amon_CanESM5_historical_r1i1p1f1_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 64, 'lon': 128});T63L49 native atmosphere, T63 Linear Gaussian Grid; 128 x 64 longitude/latitude; 49 levels; top level 1 hPa;500 km;float32
tas_Amon_EC-Earth3-AerChem_historical_r1i1p1f1_gr_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 256, 'lon': 512});T255L91;100 km;float32
tas_Amon_EC-Earth3-CC_historical_r1i1p1f1_gr_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 256, 'lon': 512});T255L91;100 km;float32
tas_Amon_EC-Earth3-Veg-LR_historical_r1i1p1f1_gr_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 160, 'lon': 320});T159L62-ORCA1L75;250 km;float32
tas_Amon_EC-Earth3-Veg_historical_r1i1p1f1_gr_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 256, 'lon': 512});T255L91-ORCA1L75;100 km;float32
tas_Amon_EC-Earth3_historical_r1i1p1f1_gr_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 256, 'lon': 512});T255L91;100 km;float32
tas_Amon_FGOALS-f3-L_historical_r1i1p1f1_gr_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 180, 'lon': 288});gs1x1;100 km;float32
tas_Amon_FGOALS-g3_historical_r1i1p1f1_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 80, 'lon': 180});native atmosphere area-weighted latxlon grid (80x180 latxlon);250 km;float32
tas_Amon_FIO-ESM-2-0_historical_r1i1p1f1_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 192, 'lon': 288});native atmosphere regular grid (192x288 latxlon);10000 km;float32
tas_Amon_GFDL-CM4_historical_r1i1p1f1_gr2_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lon': 144, 'lat': 90});atmos data regridded from Cubed-sphere (c96) to 90,144; interpolation method: conserve_order2;250 km;float32
tas_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'bnds': 2, 'lat': 180, 'lon': 288, 'time': 1980});atmos data regridded from Cubed-sphere (c96) to 180,288; interpolation method: conserve_order2;100 km;float32
tas_Amon_GISS-E2-1-G_historical_r1i1p1f2_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 90, 'lon': 144});atmospheric grid: 144x90, ocean grid: 288x180;250 km;float32
tas_Amon_GISS-E2-1-H_historical_r1i1p1f2_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 90, 'lon': 144});atmospheric grid: 144x90, ocean grid: 360x180;250 km;float32
tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-201412;1850-01-16 00:00:00;2014-12-16 00:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 144, 'lon': 192});Native N96 grid; 192 x 144 longitude/latitude;250 km;float32
tas_Amon_HadGEM3-GC31-MM_historical_r1i1p1f3_gn_185001-201412;1850-01-16 00:00:00;2014-12-16 00:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 324, 'lon': 432});Native N216 grid; 432 x 324 longitude/latitude;100 km;float32
tas_Amon_IITM-ESM_historical_r1i1p1f1_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 94, 'lon': 192});gs2x2;250 km;float32
tas_Amon_INM-CM4-8_historical_r1i1p1f1_gr1_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 120, 'lon': 180});gs2x1.5;100 km;float32
tas_Amon_INM-CM5-0_historical_r1i1p1f1_gr1_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 120, 'lon': 180});gs2x1.5;100 km;float32
tas_Amon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'lat': 96, 'lon': 96, 'time': 1980, 'axis_nbounds': 2});LMDZ grid;500 km;float32
tas_Amon_IPSL-CM6A-LR_historical_r1i1p1f1_gr_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'lat': 143, 'lon': 144, 'time': 1980, 'axis_nbounds': 2});LMDZ grid;250 km;float32
tas_Amon_KACE-1-0-G_historical_r1i1p1f1_gr_185001-201412;1850-01-16 00:00:00;2014-12-16 00:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 144, 'lon': 192});gs1x1;250 km;float32
tas_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412;1850-01-17 12:00:00;2014-12-17 12:00:00;K;Frozen({'time': 1980, 'lon': 192, 'lat': 96, 'bnds': 2});atmos data regridded from Cubed-sphere (c48) to 94X192;250 km;float32
tas_Amon_MCM-UA-1-0_historical_r1i1p1f2_gn_185001-201412;1850-01-17 00:00:00;2014-12-17 00:00:00;K;Frozen({'bnds': 2, 'lon': 96, 'lat': 80, 'time': 1980});lat-lon;250 km;float32
tas_Amon_MIROC-ES2L_historical_r1i1p1f2_gn_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 64, 'lon': 128});native atmosphere T42 Gaussian grid;500 km;float32
tas_Amon_MIROC6_historical_r1i1p1f1_gn_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 128, 'lon': 256});native atmosphere T85 Gaussian grid;250 km;float32
tas_Amon_MPI-ESM-1-2-HAM_historical_r1i1p1f1_gn_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 96, 'lon': 192});gn;250 km;float32
tas_Amon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 192, 'lon': 384});gn;100 km;float32
tas_Amon_MPI-ESM1-2-LR_historical_r1i1p1f1_gn_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 96, 'lon': 192});gn;250 km;float32
tas_Amon_MRI-ESM2-0_historical_r1i1p1f1_gn_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 160, 'lon': 320});native atmosphere TL159 gaussian grid (160x320 latxlon);100 km;float32
tas_Amon_NESM3_historical_r1i1p1f1_gn_185001-201412;1850-01-16T12:00:00.000000000;2014-12-16T12:00:00.000000000;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 96, 'lon': 192});T63;250 km;float32
tas_Amon_NorESM2-LM_historical_r1i1p1f1_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 96, 'lon': 144});finite-volume grid with 1.9x2.5 degree lat/lon resolution;250 km;float32
tas_Amon_NorESM2-MM_historical_r1i1p1f1_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 192, 'lon': 288});finite-volume grid with 0.9x1.25 degree lat/lon resolution;100 km;float32
tas_Amon_TaiESM1_historical_r1i1p1f1_gn_185001-201412;1850-01-16 12:00:00;2014-12-16 12:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 192, 'lon': 288});finite-volume grid with 0.9x1.25 degree lat/lon resolution;100 km;float32
tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-201412;1850-01-16 00:00:00;2014-12-16 00:00:00;K;Frozen({'time': 1980, 'bnds': 2, 'lat': 144, 'lon': 192});Native N96 grid; 192 x 144 longitude/latitude;250 km;float32
